Mw,Repi,dip,mech,depth,vs30,sdrop,ev_nation_code,stn,u,v,w,psa_01_u,psa_04_u,psa_07_u,psa_100_u,psa_01_v,psa_04_v,psa_07_v,psa_100_v
4.0,179.2,50,TF,6.9,767.570529,27.29250509169468,IT,T0818,0.361822,0.337098,-0.134449,0.363001,0.380194,0.459444,0.686928,0.13459200000000002,0.140214,0.193097,0.187732
4.0,189.9,50,TF,6.9,208.0,27.29250509169468,IT,T0819,-0.166274,0.187608,0.08014099999999999,0.166275,0.169075,0.190347,0.25895300000000004,0.08014199999999999,0.12251,0.234179,0.224358
4.0,160.0,50,TF,6.9,184.0,27.29250509169468,IT,T0821,-0.4651020000000001,0.433228,0.199716,0.465709,0.480575,0.652979,0.80109,0.200799,0.313308,0.321998,0.463755
4.0,191.2,50,TF,6.9,335.974567,27.29250509169468,IT,T0823,0.19451,-0.203266,0.061311,0.194654,0.203081,0.239697,0.270671,0.061315,0.082764,0.147289,0.15782100000000002
4.0,198.4,50,TF,6.9,493.160426,27.29250509169468,IT,T0826,-0.192406,0.201617,-0.046307,0.192837,0.202922,0.237456,0.287585,0.046862,0.07054500000000001,0.093357,0.079609
4.0,183.9,50,TF,6.9,451.10269800000003,27.29250509169468,IT,T0827,1.107989,-0.783611,0.248419,1.11203,1.18931,2.10367,1.75525,0.248939,0.340213,0.471515,0.593122
4.0,194.0,50,TF,6.9,946.7131380000001,27.29250509169468,IT,T0828,0.23210100000000006,0.236639,-0.05048,0.232181,0.285287,0.30725,0.503371,0.050662,0.059624,0.083661,0.085198
4.0,165.1,50,TF,6.9,804.300694,22.095813724785508,IT,VOBA,-0.571812,0.547024,0.237865,0.572566,0.648993,0.930651,2.04103,0.238995,0.299208,0.470461,0.89449
4.0,149.0,50,TF,6.9,919.821183,22.095813724785508,IT,ZEN8,0.16802999999999998,-0.165643,-0.116833,0.169264,0.21258,0.344167,0.399542,0.117804,0.152369,0.270472,0.273496
4.0,112.1,50,TF,6.9,1318.656565,22.095813724785508,IT,ZOVE,0.577465,0.686912,-0.334854,0.577491,0.837881,1.995,1.1701700000000002,0.33660300000000004,0.53693,0.8877430000000001,0.639957
